s1-11	请根据图片：写出①～⑤机体名称（可用作品里的通称）。
s1-12	请根据图片：写出《世界末日陨落之星》该角色的全名。
s1-13	请根据图片：这张插画的原画师是谁？（注意：作品本篇原画未必同一人）
s1-16	请根据图片：这是哪部作品的校服？
s1-17	请根据图片：这是哪部作品的校服？
s1-18	请根据图片：这是哪部作品的校服？
s1-19	请根据图片：这是哪部作品的校服？
s1-20	请根据图片：这是哪部作品的校服？
s1-21	请根据音频（体验版）：这位角色的声优是谁？
s1-22	请听音频：这首曲的标题是？
s1-23	请听音频：这首曲的标题是？
s1-24	请听音频：这首曲的标题是？
s1-25	请听音频：这首曲的标题是？
s2-01	请根据图片：动画《不德公会》OP 里这个姿势，是在恶搞哪部复古 Galgame？
s2-14	请根据图片：这是哪部作品里谁的家？
s2-16	广告语「本想丢掉童贞，结果连人都不当了。」对应哪部作品？
s2-17	官方类型名「绝对与你白头偕老、胆小又勇敢的心跳故事」是哪部？
s2-20	请根据图片：这是哪部作品的校服？
s2-21	请根据音频（体验版）：这位角色的声优是谁？
s2-22	请根据音频（体验版）：这位角色的声优是谁？
s2-23	请听音频：曲名是？
s2-24	请听音频：曲名是？
s2-25	请听音频：曲名是？
s3-02	请根据图片（含角色剪影提示）：这是哪部作品的圣地？
s3-11	以「那是一柄振动棒。」开篇的作品标题是？
s3-12	以下是哪部作品的注意事项？  【请注意】 本软件含有可能引起精神不适的内容。若符合以下情况，请谨慎购买： · 无法区分现实与虚构 · 觉得活着很痛苦 · 计划实施犯罪行为 · 想要依附于某物 · 有杀
s3-19	请根据图片：《没有天使的 12 月》包装角色由哪位原画师负责？（提示图可选）
s3-21	请根据图片：这是哪部作品的校服？
s3-22	请根据音频（体验版）：这位角色的声优是谁？
s3-23	请听音频：标题画面 BGM 出自哪部作品？
s3-24	请听音频：这首曲的标题是？
s3-25	请听音频：这首曲的标题是？
s4-05	广告语「不晕染的、对你的思念——」对应哪部作品？
s4-06	官方类型名「跨越百年的 Mystery ADV」是哪部？
s4-13	请根据图片：这是哪部作品主人公的房间？
s4-14	请根据图片（含剪影）：这是哪部作品的圣地？
s4-18	请根据图片：《少女世界的生存之道》主角为隐瞒性别而虚构的宗教叫什么？
s4-19	请根据图片：这是哪部作品的校服？
s4-20	请根据图片：这是哪部作品的校服？
s4-21	请根据音频（体验版）：这位角色的声优是谁？
s4-22	请根据音频（体验版）：这位角色的声优是谁？
s4-23	请听音频：这首曲的标题是？
s4-24	请听音频：这首曲的标题是？
s4-25	请听音频：这首曲的标题是？
s5-02	以下官方梗概出自哪部作品？  　所愿不过片刻安宁 　所得却是名为永远的赎罪 　主人公以「人际关系要轻、要薄、要小」为信条，对凡事敷衍了事。 　尤其有个吵人的妹妹，让他觉得女人很麻烦。 　友人却沉迷恋爱
s5-05	广告语「恋从何来，又将何去——」对应哪部作品？
s5-06	官方类型名「落第班级拯救世界的青春学园 Fantasy」是哪部？
s5-14	请根据图片（含剪影）：这是哪部作品的圣地？
s5-19	请根据图片：这是哪部作品的校服？
s5-20	请根据图片：这是哪部作品的校服？
s5-21	请根据音频（体验版）：这位角色的声优是谁？
s5-22	请根据音频（体验版）：这位角色的声优是谁？
s5-23	请听音频：回答「曲名」或「使用作品名」均可。
s5-24	请听音频：回答「曲名」或「使用作品名」均可。
s5-25	请听音频：回答「曲名」或「使用作品名」均可。
